Obesity,,,,ab_c
9-Hexadecenoylcarnitine,HMDB0013207,CCCCCC\C=C/CCCCCCCC(=O)O[C@H](CC([O-])=O)C[N+](C)(C)C,0.04 +/- 0.01uM,0.13
L-Glutamine,HMDB0000641,N[C@@H](CCC(N)=O)C(O)=O,509.43 +/- 114.91uM,0.04
L-Methionine,HMDB0000696,CSCC[C@H](N)C(O)=O,27.55 +/- 6.81uM,509.43
L-Proline,HMDB0000162,OC(=O)[C@@H]1CCCN1,180.88 +/- 63.23uM,27.55
LysoPC(18:1(9Z)/0:0),HMDB0002815,[H][C@@](O)(COC(=O)CCCCCCC\C=C/CCCCCCCC)COP([O-])(=O)OCC[N+](C)(C)C,12.73 +/- 3.96uM,180.88
LysoPC(18:1(11Z)/0:0),HMDB0010385,[H][C@@](O)(COC(=O)CCCCCCCCC\C=C/CCCCCC)COP([O-])(=O)OCC[N+](C)(C)C,12.73 +/- 3.96uM,12.73
LysoPC(P-18:1(9Z)/0:0),HMDB0010408,CCCCCCCC\C=C/CCCCCC\C=C/OC[C@](O)([H])COP([O-])(=O)OCC[N+](C)(C)C,12.73 +/- 3.96uM,12.73
"LysoPC(18:2(9Z,12Z)/0:0)",HMDB0010386,[H][C@@](O)(COC(=O)CCCCCCC\C=C/C\C=C/CCCCC)COP([O-])(=O)OCC[N+](C)(C)C,18.09 +/- 5.07uM,12.73
"LysoPC(20:4(5Z,8Z,11Z,14Z)/0:0)",HMDB0010395,CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCC(=O)OC[C@@H](O)COP([O-])(=O)OCC[N+](C)(C)C,4.4 +/- 1.21uM,18.09
"LysoPC(20:4(8Z,11Z,14Z,17Z)/0:0)",HMDB0010396,CC\C=C/C\C=C/C\C=C/C\C=C/CCCCCCC(=O)OC[C@](O)([H])COP([O-])(=O)OCC[N+](C)(C)C,4.4 +/- 1.21uM,4.4
PC(O-16:1(9Z)/18:0),HMDB0013412,CCCCCCCCCCCCCCCCCC(=O)O[C@]([H])(COCCCCCCCC\C=C/CCCCCC)COP([O-])(=O)OCC[N+](C)(C)C,8.26 +/- 2.07uM,4.4
PC(O-18:1(11Z)/16:0),HMDB0013424,CCCCCCCCCCCCCCCC(=O)O[C@]([H])(COCCCCCCCCCC\C=C/CCCCCC)COP([O-])(=O)OCC[N+](C)(C)C,8.26 +/- 2.07uM,8.26
PC(O-18:1(9Z)/16:0),HMDB0013426,CCCCCCCCCCCCCCCC(=O)O[C@]([H])(COCCCCCCCC\C=C/CCCCCCCC)COP([O-])(=O)OCC[N+](C)(C)C,8.26 +/- 2.07uM,8.26
"PC(O-16:0/18:2(9Z,12Z))",HMDB0011151,CCCCCCCCCCCCCCCCOC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/C\C=C/CCCCC,9.32 +/- 2.69uM,8.26
"PC(O-16:1(9Z)/18:2(9Z,12Z))",HMDB0013413,CCCCCC\C=C/CCCCCCCCOC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/C\C=C/CCCCC,6.95 +/- 2.02uM,9.32
"PC(O-18:0/18:2(9Z,12Z))",HMDB0013418,CCCCCCCCCCCCCCCCCCOC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/C\C=C/CCCCC,10.25 +/- 2.55uM,6.95
PC(O-18:1(9Z)/18:1(11Z)),HMDB0013428,CCCCCCCC\C=C/CCCCCCCCOC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCC\C=C/CCCCCC,10.25 +/- 2.55uM,10.25
"PC(O-18:1(11Z)/18:2(9Z,12Z))",HMDB0013425,CCCCCC\C=C/CCCCCCCCCCOC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/C\C=C/CCCCC,6.61 +/- 1.86uM,10.25
