Obesity,,,,ab_c
PC(18:1(9Z)/14:1(9Z)),HMDB0008098,CCCCCCCC\C=C/CCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/CCCC,3.02 +/- 1.66uM,18.3
PC(18:1(9Z)/14:1(9Z)),HMDB0008098,CCCCCCCC\C=C/CCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/CCCC,3.99 +/- 1.62uM,3.02
PC(18:1(9Z)/16:0),HMDB0008100,CCCCCCCCCCCCCCCC(=O)O[C@]([H])(COC(=O)CCCCCCC\C=C/CCCCCCCC)COP([O-])(=O)OCC[N+](C)(C)C,170.6 +/- 49.9uM,3.99
PC(18:1(9Z)/16:0),HMDB0008100,CCCCCCCCCCCCCCCC(=O)O[C@]([H])(COC(=O)CCCCCCC\C=C/CCCCCCCC)COP([O-])(=O)OCC[N+](C)(C)C,208.6 +/- 57.9uM,170.6
PC(18:1(9Z)/16:1(9Z)),HMDB0008101,CCCCCCCC\C=C/CCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/CCCCCC,293.9 +/- 67.9uM,208.6
PC(18:1(9Z)/16:1(9Z)),HMDB0008101,CCCCCCCC\C=C/CCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/CCCCCC,342.3 +/- 95.3uM,293.9
PC(18:1(9Z)/18:0),HMDB0008102,CCCCCCCCCCCCCCCCCC(=O)O[C@]([H])(COC(=O)CCCCCCC\C=C/CCCCCCCC)COP([O-])(=O)OCC[N+](C)(C)C,38.8 +/- 13.3uM,342.3
PC(18:1(9Z)/18:0),HMDB0008102,CCCCCCCCCCCCCCCCCC(=O)O[C@]([H])(COC(=O)CCCCCCC\C=C/CCCCCCCC)COP([O-])(=O)OCC[N+](C)(C)C,47.7 +/- 15.4uM,38.8
PC(18:1(9Z)/18:1(11Z)),HMDB0008103,CCCCCCCC\C=C/CCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCC\C=C/CCCCCC,192.7 +/- 50.0uM,47.7
PC(18:1(9Z)/18:1(11Z)),HMDB0008103,CCCCCCCC\C=C/CCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCC\C=C/CCCCCC,233.6 +/- 68.4uM,192.7
PC(18:1(9Z)/18:1(9Z)),HMDB0000593,CCCCCCCC\C=C/CCCCCCCC(=O)OC[C@H](COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/CCCCCCCC,192.7 +/- 50.0uM,233.6
PC(18:1(9Z)/18:1(9Z)),HMDB0000593,CCCCCCCC\C=C/CCCCCCCC(=O)OC[C@H](COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/CCCCCCCC,233.6 +/- 68.4uM,192.7
"PC(18:1(9Z)/18:2(9Z,12Z))",HMDB0008105,CCCCCCCC\C=C/CCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/C\C=C/CCCCC,108.5 +/- 32.8uM,233.6
"PC(18:1(9Z)/18:2(9Z,12Z))",HMDB0008105,CCCCCCCC\C=C/CCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/C\C=C/CCCCC,132.1 +/- 39.6uM,108.5
"PC(18:1(9Z)/18:3(6Z,9Z,12Z))",HMDB0008106,CCCCCCCC\C=C/CCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCC\C=C/C\C=C/C\C=C/CCCCC,138.6 +/- 39.6uM,132.1
"PC(18:1(9Z)/18:3(6Z,9Z,12Z))",HMDB0008106,CCCCCCCC\C=C/CCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCC\C=C/C\C=C/C\C=C/CCCCC,159.1 +/- 43.5uM,138.6
"PC(18:1(9Z)/18:3(9Z,12Z,15Z))",HMDB0008107,CCCCCCCC\C=C/CCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/C\C=C/C\C=C/CC,138.6 +/- 39.6uM,159.1
"PC(18:1(9Z)/18:3(9Z,12Z,15Z))",HMDB0008107,CCCCCCCC\C=C/CCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/C\C=C/C\C=C/CC,159.1 +/- 43.5uM,138.6
"PC(18:1(9Z)/18:4(6Z,9Z,12Z,15Z))",HMDB0008108,[H][C@@](COC(=O)CCCCCCC\C=C/CCCCCCCC)(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCC\C=C/C\C=C/C\C=C/C\C=C/CC,13.5 +/- 6.1uM,159.1
"PC(18:1(9Z)/18:4(6Z,9Z,12Z,15Z))",HMDB0008108,[H][C@@](COC(=O)CCCCCCC\C=C/CCCCCCCC)(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCC\C=C/C\C=C/C\C=C/C\C=C/CC,17.9 +/- 7.9uM,13.5
"PC(18:1(9Z)/20:2(11Z,14Z))",HMDB0008111,CCCCCCCC\C=C/CCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCC\C=C/C\C=C/CCCCC,43.5 +/- 14.2uM,17.9
"PC(18:1(9Z)/20:2(11Z,14Z))",HMDB0008111,CCCCCCCC\C=C/CCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCC\C=C/C\C=C/CCCCC,56.1 +/- 19.7uM,43.5
"PC(18:1(9Z)/20:3(5Z,8Z,11Z))",HMDB0008112,CCCCCCCC\C=C/CCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC\C=C/C\C=C/C\C=C/CCCCCCCC,88.0 +/- 28.5uM,56.1
"PC(18:1(9Z)/20:3(5Z,8Z,11Z))",HMDB0008112,CCCCCCCC\C=C/CCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC\C=C/C\C=C/C\C=C/CCCCCCCC,103.8 +/- 31.3uM,88
"PC(18:1(9Z)/20:3(8Z,11Z,14Z))",HMDB0008113,CCCCCCCC\C=C/CCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCC\C=C/C\C=C/C\C=C/CCCCC,88.0 +/- 28.5uM,103.8
"PC(18:1(9Z)/20:3(8Z,11Z,14Z))",HMDB0008113,CCCCCCCC\C=C/CCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCC\C=C/C\C=C/C\C=C/CCCCC,103.8 +/- 31.3uM,88
"PC(18:1(9Z)/20:4(5Z,8Z,11Z,14Z))",HMDB0008114,CCCCCCCC\C=C/CCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC,39.8 +/- 13.1uM,103.8
"PC(18:1(9Z)/20:4(5Z,8Z,11Z,14Z))",HMDB0008114,CCCCCCCC\C=C/CCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC,48.5 +/- 15.2uM,39.8
"PC(18:1(9Z)/20:4(8Z,11Z,14Z,17Z))",HMDB0008115,CCCCCCCC\C=C/CCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCC\C=C/C\C=C/C\C=C/C\C=C/CC,39.8 +/- 13.1uM,48.5
"PC(18:1(9Z)/20:4(8Z,11Z,14Z,17Z))",HMDB0008115,CCCCCCCC\C=C/CCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCC\C=C/C\C=C/C\C=C/C\C=C/CC,48.5 +/- 15.2uM,39.8
"PC(18:1(9Z)/20:5(5Z,8Z,11Z,14Z,17Z))",HMDB0008116,CCCCCCCC\C=C/CCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC,51.9 +/- 20.0uM,48.5
"PC(18:1(9Z)/20:5(5Z,8Z,11Z,14Z,17Z))",HMDB0008116,CCCCCCCC\C=C/CCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC,60.5 +/- 21.7uM,51.9
PC(18:1(9Z)/22:1(13Z)),HMDB0008118,CCCCCCCC\C=C/CCCCCCCCCCCC(=O)O[C@]([H])(COC(=O)CCCCCCC\C=C/CCCCCCCC)COP([O-])(=O)OCC[N+](C)(C)C,0.296 +/- 0.142uM,60.5
PC(18:1(9Z)/22:1(13Z)),HMDB0008118,CCCCCCCC\C=C/CCCCCCCCCCCC(=O)O[C@]([H])(COC(=O)CCCCCCC\C=C/CCCCCCCC)COP([O-])(=O)OCC[N+](C)(C)C,0.297 +/- 0.119uM,0.296
"PC(18:1(9Z)/22:2(13Z,16Z))",HMDB0008119,CCCCCCCC\C=C/CCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCC\C=C/C\C=C/CCCCC,0.504 +/- 0.170uM,0.297
"PC(18:1(9Z)/22:2(13Z,16Z))",HMDB0008119,CCCCCCCC\C=C/CCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCC\C=C/C\C=C/CCCCC,0.545 +/- 0.161uM,0.504
"PC(18:1(9Z)/22:4(7Z,10Z,13Z,16Z))",HMDB0008120,CCCCCCCC\C=C/CCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC,8.83 +/- 3.47uM,0.545
"PC(18:1(9Z)/22:4(7Z,10Z,13Z,16Z))",HMDB0008120,CCCCCCCC\C=C/CCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC,11.27 +/- 4.24uM,8.83
"PC(18:1(9Z)/22:5(4Z,7Z,10Z,13Z,16Z))",HMDB0008121,CCCCCCCC\C=C/CCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCCCC,19.0 +/- 7.8uM,11.27
"PC(18:1(9Z)/22:5(4Z,7Z,10Z,13Z,16Z))",HMDB0008121,CCCCCCCC\C=C/CCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCCCC,24.5 +/- 10.0uM,19
"PC(18:1(9Z)/22:5(7Z,10Z,13Z,16Z,19Z))",HMDB0008122,CCCCCCCC\C=C/CCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC,19.0 +/- 7.8uM,24.5
"PC(18:1(9Z)/22:5(7Z,10Z,13Z,16Z,19Z))",HMDB0008122,CCCCCCCC\C=C/CCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC,24.5 +/- 10.0uM,19
PC(18:1(9Z)/24:0),HMDB0008124,CCCCCCCCCCCCCCCCCCCCCCCC(=O)O[C@]([H])(COC(=O)CCCCCCC\C=C/CCCCCCCC)COP([O-])(=O)OCC[N+](C)(C)C,0.242 +/- 0.097uM,24.5
PC(18:1(9Z)/24:0),HMDB0008124,CCCCCCCCCCCCCCCCCCCCCCCC(=O)O[C@]([H])(COC(=O)CCCCCCC\C=C/CCCCCCCC)COP([O-])(=O)OCC[N+](C)(C)C,0.250 +/- 0.084uM,0.242
PC(18:1(9Z)/24:1(15Z)),HMDB0008125,CCCCCCCC\C=C/CCCCCCCCCCCCCC(=O)O[C@]([H])(COC(=O)CCCCCCC\C=C/CCCCCCCC)COP([O-])(=O)OCC[N+](C)(C)C,0.165 +/- 0.066uM,0.25
PC(18:1(9Z)/24:1(15Z)),HMDB0008125,CCCCCCCC\C=C/CCCCCCCCCCCCCC(=O)O[C@]([H])(COC(=O)CCCCCCC\C=C/CCCCCCCC)COP([O-])(=O)OCC[N+](C)(C)C,0.170 +/- 0.066uM,0.165
PC(18:1(9Z)/P-16:0),HMDB0008126,CCCCCCCCCCCCCC\C=C/OC(COC(=O)CCCCCCC\C=C/CCCCCCCC)COP([O-])(=O)OCC[N+](C)(C)C,170.6 +/- 49.9uM,0.17
PC(18:1(9Z)/P-16:0),HMDB0008126,CCCCCCCCCCCCCC\C=C/OC(COC(=O)CCCCCCC\C=C/CCCCCCCC)COP([O-])(=O)OCC[N+](C)(C)C,208.6 +/- 57.9uM,170.6
PC(18:1(9Z)/P-18:0),HMDB0008127,CCCCCCCCCCCCCCCC\C=C/OC(COC(=O)CCCCCCC\C=C/CCCCCCCC)COP([O-])(=O)OCC[N+](C)(C)C,38.8 +/- 13.3uM,208.6
PC(18:1(9Z)/P-18:0),HMDB0008127,CCCCCCCCCCCCCCCC\C=C/OC(COC(=O)CCCCCCC\C=C/CCCCCCCC)COP([O-])(=O)OCC[N+](C)(C)C,47.7 +/- 15.4uM,38.8
PC(18:1(9Z)/P-18:1(11Z)),HMDB0008128,CCCCCCCC\C=C/CCCCCCCC(=O)OCC(COP([O-])(=O)OCC[N+](C)(C)C)O\C=C/CCCCCCCC\C=C/CCCCCC,192.7 +/- 50.0uM,47.7
PC(18:1(9Z)/P-18:1(11Z)),HMDB0008128,CCCCCCCC\C=C/CCCCCCCC(=O)OCC(COP([O-])(=O)OCC[N+](C)(C)C)O\C=C/CCCCCCCC\C=C/CCCCCC,233.6 +/- 68.4uM,192.7
PC(18:1(9Z)/P-18:1(9Z)),HMDB0008129,CCCCCCCC\C=C/CCCCCCCC(=O)OCC(COP([O-])(=O)OCC[N+](C)(C)C)O\C=C/CCCCCC\C=C/CCCCCCCC,192.7 +/- 50.0uM,233.6
PC(18:1(9Z)/P-18:1(9Z)),HMDB0008129,CCCCCCCC\C=C/CCCCCCCC(=O)OCC(COP([O-])(=O)OCC[N+](C)(C)C)O\C=C/CCCCCC\C=C/CCCCCCCC,233.6 +/- 68.4uM,192.7
"PC(18:2(9Z,12Z)/14:0)",HMDB0008130,CCCCCCCCCCCCCC(=O)O[C@]([H])(COC(=O)CCCCCCC\C=C/C\C=C/CCCCC)COP([O-])(=O)OCC[N+](C)(C)C,3.02 +/- 1.66uM,233.6
"PC(18:2(9Z,12Z)/14:0)",HMDB0008130,CCCCCCCCCCCCCC(=O)O[C@]([H])(COC(=O)CCCCCCC\C=C/C\C=C/CCCCC)COP([O-])(=O)OCC[N+](C)(C)C,3.99 +/- 1.62uM,3.02
"PC(18:2(9Z,12Z)/14:1(9Z))",HMDB0008131,CCCCC\C=C/C\C=C/CCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/CCCC,0.446 +/- 0.145uM,3.99
"PC(18:2(9Z,12Z)/14:1(9Z))",HMDB0008131,CCCCC\C=C/C\C=C/CCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/CCCC,0.506 +/- 0.154uM,0.446
"PC(18:2(9Z,12Z)/16:0)",HMDB0008133,CCCCCCCCCCCCCCCC(=O)O[C@]([H])(COC(=O)CCCCCCC\C=C/C\C=C/CCCCC)COP([O-])(=O)OCC[N+](C)(C)C,293.9 +/- 67.9uM,0.506
"PC(18:2(9Z,12Z)/16:0)",HMDB0008133,CCCCCCCCCCCCCCCC(=O)O[C@]([H])(COC(=O)CCCCCCC\C=C/C\C=C/CCCCC)COP([O-])(=O)OCC[N+](C)(C)C,342.3 +/- 95.3uM,293.9
"PC(18:2(9Z,12Z)/16:1(9Z))",HMDB0008134,CCCCCC\C=C/CCCCCCCC(=O)O[C@]([H])(COC(=O)CCCCCCC\C=C/C\C=C/CCCCC)COP([O-])(=O)OCC[N+](C)(C)C,13.2 +/- 4.8uM,342.3
"PC(18:2(9Z,12Z)/16:1(9Z))",HMDB0008134,CCCCCC\C=C/CCCCCCCC(=O)O[C@]([H])(COC(=O)CCCCCCC\C=C/C\C=C/CCCCC)COP([O-])(=O)OCC[N+](C)(C)C,16.1 +/- 4.7uM,13.2
"PC(18:2(9Z,12Z)/18:0)",HMDB0008135,CCCCCCCCCCCCCCCCCC(=O)O[C@]([H])(COC(=O)CCCCCCC\C=C/C\C=C/CCCCC)COP([O-])(=O)OCC[N+](C)(C)C,192.7 +/- 50.0uM,16.1
"PC(18:2(9Z,12Z)/18:0)",HMDB0008135,CCCCCCCCCCCCCCCCCC(=O)O[C@]([H])(COC(=O)CCCCCCC\C=C/C\C=C/CCCCC)COP([O-])(=O)OCC[N+](C)(C)C,233.6 +/- 68.4uM,192.7
"PC(18:2(9Z,12Z)/18:1(11Z))",HMDB0008136,CCCCCC\C=C/CCCCCCCCCC(=O)O[C@]([H])(COC(=O)CCCCCCC\C=C/C\C=C/CCCCC)COP([O-])(=O)OCC[N+](C)(C)C,108.5 +/- 32.8uM,233.6
"PC(18:2(9Z,12Z)/18:1(11Z))",HMDB0008136,CCCCCC\C=C/CCCCCCCCCC(=O)O[C@]([H])(COC(=O)CCCCCCC\C=C/C\C=C/CCCCC)COP([O-])(=O)OCC[N+](C)(C)C,132.1 +/- 39.6uM,108.5
"PC(18:2(9Z,12Z)/18:1(9Z))",HMDB0008137,CCCCCCCC\C=C/CCCCCCCC(=O)O[C@]([H])(COC(=O)CCCCCCC\C=C/C\C=C/CCCCC)COP([O-])(=O)OCC[N+](C)(C)C,108.5 +/- 32.8uM,132.1
"PC(18:2(9Z,12Z)/18:1(9Z))",HMDB0008137,CCCCCCCC\C=C/CCCCCCCC(=O)O[C@]([H])(COC(=O)CCCCCCC\C=C/C\C=C/CCCCC)COP([O-])(=O)OCC[N+](C)(C)C,132.1 +/- 39.6uM,108.5
"PC(18:2(9Z,12Z)/18:2(9Z,12Z))",HMDB0008138,CCCCC\C=C/C\C=C/CCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/C\C=C/CCCCC,138.6 +/- 39.6uM,132.1
"PC(18:2(9Z,12Z)/18:2(9Z,12Z))",HMDB0008138,CCCCC\C=C/C\C=C/CCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/C\C=C/CCCCC,159.1 +/- 43.5uM,138.6
"PC(18:2(9Z,12Z)/18:3(6Z,9Z,12Z))",HMDB0008140,CCCCC\C=C/C\C=C/CCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCC\C=C/C\C=C/C\C=C/CCCCC,13.5 +/- 6.1uM,159.1
"PC(18:2(9Z,12Z)/18:3(6Z,9Z,12Z))",HMDB0008140,CCCCC\C=C/C\C=C/CCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCC\C=C/C\C=C/C\C=C/CCCCC,17.9 +/- 7.9uM,13.5
"PC(18:2(9Z,12Z)/18:3(9Z,12Z,15Z))",HMDB0008141,CCCCC\C=C/C\C=C/CCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/C\C=C/C\C=C/CC,13.5 +/- 6.1uM,17.9
"PC(18:2(9Z,12Z)/18:3(9Z,12Z,15Z))",HMDB0008141,CCCCC\C=C/C\C=C/CCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/C\C=C/C\C=C/CC,17.9 +/- 7.9uM,13.5
"PC(18:2(9Z,12Z)/18:4(6Z,9Z,12Z,15Z))",HMDB0008142,CCCCC\C=C/C\C=C/CCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCC\C=C/C\C=C/C\C=C/C\C=C/CC,0.574 +/- 0.243uM,17.9
"PC(18:2(9Z,12Z)/18:4(6Z,9Z,12Z,15Z))",HMDB0008142,CCCCC\C=C/C\C=C/CCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCC\C=C/C\C=C/C\C=C/C\C=C/CC,0.725 +/- 0.281uM,0.574
"PC(18:2(9Z,12Z)/20:1(11Z))",HMDB0008144,CCCCCCCC\C=C/CCCCCCCCCC(=O)O[C@]([H])(COC(=O)CCCCCCC\C=C/C\C=C/CCCCC)COP([O-])(=O)OCC[N+](C)(C)C,43.5 +/- 14.2uM,0.725
"PC(18:2(9Z,12Z)/20:1(11Z))",HMDB0008144,CCCCCCCC\C=C/CCCCCCCCCC(=O)O[C@]([H])(COC(=O)CCCCCCC\C=C/C\C=C/CCCCC)COP([O-])(=O)OCC[N+](C)(C)C,56.1 +/- 19.7uM,43.5
"PC(18:2(9Z,12Z)/20:2(11Z,14Z))",HMDB0008145,CCCCC\C=C/C\C=C/CCCCCCCCCC(=O)O[C@]([H])(COC(=O)CCCCCCC\C=C/C\C=C/CCCCC)COP([O-])(=O)OCC[N+](C)(C)C,88.0 +/- 28.5uM,56.1
"PC(18:2(9Z,12Z)/20:2(11Z,14Z))",HMDB0008145,CCCCC\C=C/C\C=C/CCCCCCCCCC(=O)O[C@]([H])(COC(=O)CCCCCCC\C=C/C\C=C/CCCCC)COP([O-])(=O)OCC[N+](C)(C)C,103.8 +/- 31.3uM,88
"PC(18:2(9Z,12Z)/20:3(5Z,8Z,11Z))",HMDB0008139,CCCCCCCC\C=C/C\C=C/C\C=C/CCCC(=O)O[C@]([H])(COC(=O)CCCCCCC\C=C/C\C=C/CCCCC)COP([O-])(=O)OCC[N+](C)(C)C,39.8 +/- 13.1uM,103.8
"PC(18:2(9Z,12Z)/20:3(5Z,8Z,11Z))",HMDB0008139,CCCCCCCC\C=C/C\C=C/C\C=C/CCCC(=O)O[C@]([H])(COC(=O)CCCCCCC\C=C/C\C=C/CCCCC)COP([O-])(=O)OCC[N+](C)(C)C,48.5 +/- 15.2uM,39.8
"PC(18:2(9Z,12Z)/20:3(8Z,11Z,14Z))",HMDB0008146,CCCCC\C=C/C\C=C/CCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCC\C=C/C\C=C/C\C=C/CCCCC,39.8 +/- 13.1uM,48.5
"PC(18:2(9Z,12Z)/20:3(8Z,11Z,14Z))",HMDB0008146,CCCCC\C=C/C\C=C/CCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCC\C=C/C\C=C/C\C=C/CCCCC,48.5 +/- 15.2uM,39.8
"PC(18:2(9Z,12Z)/20:4(5Z,8Z,11Z,14Z))",HMDB0008147,CCCCC\C=C/C\C=C/CCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC,51.9 +/- 20.0uM,48.5
"PC(18:2(9Z,12Z)/20:4(5Z,8Z,11Z,14Z))",HMDB0008147,CCCCC\C=C/C\C=C/CCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC,60.5 +/- 21.7uM,51.9
"PC(18:2(9Z,12Z)/20:4(8Z,11Z,14Z,17Z))",HMDB0008148,CCCCC\C=C/C\C=C/CCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCC\C=C/C\C=C/C\C=C/C\C=C/CC,51.9 +/- 20.0uM,60.5
"PC(18:2(9Z,12Z)/20:4(8Z,11Z,14Z,17Z))",HMDB0008148,CCCCC\C=C/C\C=C/CCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCC\C=C/C\C=C/C\C=C/C\C=C/CC,60.5 +/- 21.7uM,51.9
"PC(18:2(9Z,12Z)/22:0)",HMDB0008150,CCCCCCCCCCCCCCCCCCCCCC(=O)O[C@]([H])(COC(=O)CCCCCCC\C=C/C\C=C/CCCCC)COP([O-])(=O)OCC[N+](C)(C)C,0.296 +/- 0.142uM,60.5
"PC(18:2(9Z,12Z)/22:0)",HMDB0008150,CCCCCCCCCCCCCCCCCCCCCC(=O)O[C@]([H])(COC(=O)CCCCCCC\C=C/C\C=C/CCCCC)COP([O-])(=O)OCC[N+](C)(C)C,0.297 +/- 0.119uM,0.296
"PC(18:2(9Z,12Z)/22:1(13Z))",HMDB0008151,CCCCCCCC\C=C/CCCCCCCCCCCC(=O)O[C@]([H])(COC(=O)CCCCCCC\C=C/C\C=C/CCCCC)COP([O-])(=O)OCC[N+](C)(C)C,0.504 +/- 0.170uM,0.297
"PC(18:2(9Z,12Z)/22:1(13Z))",HMDB0008151,CCCCCCCC\C=C/CCCCCCCCCCCC(=O)O[C@]([H])(COC(=O)CCCCCCC\C=C/C\C=C/CCCCC)COP([O-])(=O)OCC[N+](C)(C)C,0.545 +/- 0.161uM,0.504
"PC(18:2(9Z,12Z)/22:2(13Z,16Z))",HMDB0008152,CCCCC\C=C/C\C=C/CCCCCCCCCCCC(=O)O[C@]([H])(COC(=O)CCCCCCC\C=C/C\C=C/CCCCC)COP([O-])(=O)OCC[N+](C)(C)C,3.62 +/- 1.28uM,0.545
"PC(18:2(9Z,12Z)/22:2(13Z,16Z))",HMDB0008152,CCCCC\C=C/C\C=C/CCCCCCCCCCCC(=O)O[C@]([H])(COC(=O)CCCCCCC\C=C/C\C=C/CCCCC)COP([O-])(=O)OCC[N+](C)(C)C,4.50 +/- 1.51uM,3.62
"PC(18:2(9Z,12Z)/22:4(7Z,10Z,13Z,16Z))",HMDB0008153,CCCCC\C=C/C\C=C/CCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC,19.0 +/- 7.8uM,4.5
"PC(18:2(9Z,12Z)/22:4(7Z,10Z,13Z,16Z))",HMDB0008153,CCCCC\C=C/C\C=C/CCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC,24.5 +/- 10.0uM,19
"PC(18:2(9Z,12Z)/24:0)",HMDB0008157,CCCCCCCCCCCCCCCCCCCCCCCC(=O)O[C@]([H])(COC(=O)CCCCCCC\C=C/C\C=C/CCCCC)COP([O-])(=O)OCC[N+](C)(C)C,0.165 +/- 0.066uM,24.5
